rule_id	n	ents_out	ents_in	doors_out	doors_in	n_pairs	sigs	example_pair
2c806c1bf6e3	7	1234765,1237465,1273465,1465273,1465723,1467523,1476523,1723465,2146573,2146753,2147653,2346175,2347615,2374615,2714653,2734615,3461275,3461725,3476125,3746125,4612375,4612735,4617235,4652713,4657213,4675213,4761235,4765213,5214673,5214763,5271463,5721463,6123475,6123745,6127345,6172345,6521473,6527143,6572143,6752143,7146523,7214653,7234615,7346125,7461235,7521463,7612345,7652143	1234567,1235467,1253467,1436527,1463527,1465237,1465327,1523467,2143657,2146357,2146537,2314657,2345617,2346157,2354617,2534617,3146527,3214657,3456127,3461257,3461527,3521467,3546127,3652147,4365217,4561237,4612357,4612537,4615237,4635217,4652317,4653217,5214367,5214637,5231467,5234617,5321467,5346127,5461237,5612347,6123457,6123547,6125347,6152347,6352147,6521437,6523147,6532147			10	085a8c9480ab,6b987d477796,f728a0379f47	5906.up-e948752d6a32.txt~5906.up-eebb02e3baec.txt
7c2769543fc5	7	1234567,1235467,1253467,1436527,1463527,1465237,1465327,1523467,2143657,2146357,2146537,2314657,2345617,2346157,2354617,2534617,3146527,3214657,3456127,3461257,3461527,3521467,3546127,3652147,4365217,4561237,4612357,4612537,4615237,4635217,4652317,4653217,5214367,5214637,5231467,5234617,5321467,5346127,5461237,5612347,6123457,6123547,6125347,6152347,6352147,6521437,6523147,6532147	1234765,1237465,1273465,1465273,1465723,1467523,1476523,1723465,2146573,2146753,2147653,2346175,2347615,2374615,2714653,2734615,3461275,3461725,3476125,3746125,4612375,4612735,4617235,4652713,4657213,4675213,4761235,4765213,5214673,5214763,5271463,5721463,6123475,6123745,6127345,6172345,6521473,6527143,6572143,6752143,7146523,7214653,7234615,7346125,7461235,7521463,7612345,7652143			10	085a8c9480ab,6b987d477796,f728a0379f47	5906.up-e948752d6a32.txt~5906.up-eebb02e3baec.txt
65d9c5d02da1	7	1234765,1237654,1243765,1247365,1247635,1324765,1425763,1427563,1427653,1432567,1452763,1527364,1542763,2347615,2376514,2437615,2473615,2476135,2476315,2547631,2561437,2576143,2736154,2756143,2761453,2761543,2765143,3124765,3247615,3254761,3256147,3476125,3612475,3615274,3761245,3765124,4257613,4275613,4276153,4276513,4325617,4376125,4527613,4736125,4761235,4761325,4763125,4763251,5123764,5142763,5273614,5276143,5427613,5476321,5614273,5614327,5761423,6123475,6124375,6124735,6132475,6142573,6142753,6143257,6145273,6152734,6154273,6312475,6325471,6512374,6514273,7361245,7361524,7561423,7612345,7612435,7613245,7614253,7614523,7615423,7631245,7632541,7651234,7651423	1234567,1245763,1247563,1247653,1254763,1342765,1423765,1427365,1427635,1432765,1437652,1524763,1547362,2345617,2376145,2457613,2475613,2476153,2476513,2547613,2736145,2761345,2761435,2763145,2763451,3142765,3276145,3427615,3452761,3456127,3614275,3615472,3761425,3765142,4237615,4273615,4276135,4276315,4327615,4376512,4527631,4561237,4576123,4736152,4756123,4761253,4761523,4765123,5124763,5143762,5247613,5276341,5473612,5476123,5612347,5612473,5761243,6123457,6124573,6124753,6125473,6134275,6142375,6142735,6143275,6152473,6154732,6314275,6345271,6512473,6514372,7361425,7361542,7561243,7612453,7612543,7613425,7614235,7614325,7615243,7631425,7634521,7651243,7651432			8	b1fc4d347f2b,f1152fecff0d	5906.up-0a065898a821.txt~5906.up-6597315411ea.txt
8a34ad08d7c8	7	1234765,1237465,1273465,1426375,1462375,1463275,1463725,1723465,2146375,2346175,2347615,2371465,2374615,2637145,2714635,2734615,3271465,3461275,3461725,3476125,3714265,3714625,3721465,3746125,4263715,4612375,4612735,4617235,4623715,4632715,4637215,4761235,6123475,6123745,6127345,6172345,6237145,6327145,6371425,6372145,7142635,7146235,7146325,7214635,7234615,7346125,7461235,7612345	1234567,1235467,1253467,1456372,1463572,1463752,1465372,1523467,2345617,2346157,2354617,2534617,3456127,3461257,3461527,3546127,3571462,3714562,3714652,3751462,4561237,4563712,4612357,4612537,4615237,4635712,4637512,4653712,5146372,5234617,5346127,5371462,5461237,5612347,5637142,5714632,6123457,6123547,6125347,6152347,6357142,6371452,6375142,6537142,7145632,7146352,7146532,7514632			5	29d87a06d747,8101d56940c4,f7611e935104	5906.up-c3afee7ed153.txt~5906.up-c63a66adbc60.txt
eb70d1e95c8b	7	1234567,1235467,1253467,1456372,1463572,1463752,1465372,1523467,2345617,2346157,2354617,2534617,3456127,3461257,3461527,3546127,3571462,3714562,3714652,3751462,4561237,4563712,4612357,4612537,4615237,4635712,4637512,4653712,5146372,5234617,5346127,5371462,5461237,5612347,5637142,5714632,6123457,6123547,6125347,6152347,6357142,6371452,6375142,6537142,7145632,7146352,7146532,7514632	1234765,1237465,1273465,1426375,1462375,1463275,1463725,1723465,2146375,2346175,2347615,2371465,2374615,2637145,2714635,2734615,3271465,3461275,3461725,3476125,3714265,3714625,3721465,3746125,4263715,4612375,4612735,4617235,4623715,4632715,4637215,4761235,6123475,6123745,6127345,6172345,6237145,6327145,6371425,6372145,7142635,7146235,7146325,7214635,7234615,7346125,7461235,7612345			5	29d87a06d747,8101d56940c4,f7611e935104	5906.up-c3afee7ed153.txt~5906.up-c63a66adbc60.txt
f58a0fb1697c	7	1234567,1235467,1243567,1423567,1623574,1623754,1627354,1672354,2345617,2351674,2354617,2356147,2357164,2375164,2435617,2735164,3456127,3516274,3516724,3546127,3561247,3561427,3571624,3751624,4235617,4356127,4561237,4612357,5162374,5162734,5167234,5461237,5612347,5612437,5614237,5716234,6123457,6123547,6124357,6142357,6235714,6237514,6273514,6723514,7162354,7235164,7351624,7516234	1235764,1237564,1273564,1623457,1623547,1624357,1642357,1723564,2345167,2351647,2354167,2356174,2357614,2375614,2435167,2735614,3451627,3516247,3516427,3541627,3561274,3561724,3576124,3756124,4162357,4235167,4351627,4516237,5162347,5162437,5164237,5416237,5612374,5612734,5617234,5761234,6123574,6123754,6127354,6172354,6234517,6235417,6243517,6423517,7235614,7356124,7561234,7612354			4	809a00b93e2e,b0a57898e37e	5906.up-78d638be95ae.txt~5906.up-e65e244c83d3.txt
6714c4a96bb4	7	1235467,1245763,1247563,1253467,1254367,1254637,1274563,1724563,2354617,2456173,2457613,2475613,2534617,2543617,2546317,2745613,3125467,3461257,3546127,3612547,4361257,4561273,4561723,4576123,4612357,4612537,4631257,4756123,5346127,5436127,5461237,5463127,5612473,5612743,5617243,5761243,6123547,6124573,6124753,6125347,6125437,6127453,6172453,6312547,7245613,7456123,7561243,7612453	1234567,1243567,1245367,1245637,1254763,1257463,1275463,1725463,2345617,2435617,2453617,2456317,2546173,2547613,2574613,2754613,3124567,3456127,3561247,3612457,4356127,4536127,4561237,4563127,4612573,4612753,4617253,4761253,5361247,5461273,5461723,5476123,5612347,5612437,5631247,5746123,6123457,6124357,6124537,6125473,6125743,6127543,6172543,6312457,7254613,7461253,7546123,7612543			4	e42578b72118	5906.up-890b6674bd25.txt~5906.up-d0b9281ca469.txt
d0f1e2321709	7	1236547,1345762,1347562,1362547,1365247,1365427,1374562,1734562,2136547,2365417,2413657,2541367,3456172,3457612,3475612,3625417,3652417,3654127,3654217,3745612,4123657,4136257,4136527,4213657,4561372,4561732,4576132,4756132,5241367,5412367,5413627,5421367,5613472,5613742,5617342,5761342,6134572,6134752,6137452,6173452,6254137,6524137,6541237,6542137,7345612,7456132,7561342,7613452	1234567,1324567,1342567,1345267,1365472,1365742,1367542,1736542,2345617,2456137,2561347,2613457,3245617,3425617,3452617,3456127,3654172,3654712,3657412,3675412,4136572,4136752,4173652,4256137,4526137,4561237,4561327,4713652,5261347,5413672,5417362,5471362,5612347,5613247,5613427,5741362,6123457,6132457,6134257,6134527,6541732,6547132,6574132,6754132,7136542,7365412,7413652,7541362			4	f9468e268727	5906.up-1206598d1ff0.txt~5906.up-6a142cb8e27d.txt
ea1ae55099c1	7	1235764,1237564,1273564,1723564,1735264,1735624,1736524,1763524,2173564,2173654,2176354,2356174,2357614,2375614,2617354,2735614,3521764,3526174,3561274,3561724,3562174,3576124,3652174,3756124,5217364,5217634,5261734,5612374,5612734,5617234,5621734,5761234,6123574,6123754,6127354,6172354,6173524,6217354,6352174,6521734,7235614,7352614,7356124,7356214,7365214,7561234,7612354,7635214	1234567,1235467,1243567,1423567,1734526,1735246,1735426,1743526,2173456,2173546,2174356,2345617,2354617,2356147,2417356,2435617,3452176,3456127,3521746,3524176,3542176,3546127,3561247,3561427,4173526,4217356,4235617,4352176,4356127,4521736,4561237,4612357,5217346,5217436,5241736,5421736,5461237,5612347,5612437,5614237,6123457,6123547,6124357,6142357,7345216,7352416,7354216,7435216			2	0d29c7b8725d,e807ae9e42e0	5906.up-207dc5352d35.txt~5906.up-37ac2db82134.txt
cb47d5e063e0	7	1234567,1235467,1243567,1423567,1734526,1735246,1735426,1743526,2173456,2173546,2174356,2345617,2354617,2356147,2417356,2435617,3452176,3456127,3521746,3524176,3542176,3546127,3561247,3561427,4173526,4217356,4235617,4352176,4356127,4521736,4561237,4612357,5217346,5217436,5241736,5421736,5461237,5612347,5612437,5614237,6123457,6123547,6124357,6142357,7345216,7352416,7354216,7435216	1235764,1237564,1273564,1723564,1735264,1735624,1736524,1763524,2173564,2173654,2176354,2356174,2357614,2375614,2617354,2735614,3521764,3526174,3561274,3561724,3562174,3576124,3652174,3756124,5217364,5217634,5261734,5612374,5612734,5617234,5621734,5761234,6123574,6123754,6127354,6172354,6173524,6217354,6352174,6521734,7235614,7352614,7356124,7356214,7365214,7561234,7612354,7635214			2	0d29c7b8725d,e807ae9e42e0	5906.up-207dc5352d35.txt~5906.up-37ac2db82134.txt
